configuration,claim_id,claim,label,max_entailment,max_contradiction
Whole + Gemini,C46,Home oxygen assessment and pulmonary-rehabilitation exercise program were provided.,SUPPORTED,0.9998101592063904,0.46355727314949036
Whole + Gemini,C47,Patient was instructed on use of a rollator and energy-conservation strategies.,SUPPORTED,0.9997075200080872,0.9857807755470276
Whole + BGE,C01,The patient has a history of hypertension.,SUPPORTED,0.9998204112052917,0.5996821522712708
Whole + BGE,C02,The patient has a history of asthma.,SUPPORTED,0.9996581077575684,0.02212110534310341
Whole + BGE,C03,The patient presented with progressive breathlessness limiting daily activity.,SUPPORTED,0.9998378753662109,0.9158703088760376
Whole + BGE,C04,Initial heart rate was 112 beats per minute.,CONTRADICTED,0.003273952519521117,0.9996122717857361
Whole + BGE,C05,Initial blood pressure was 92/64 mmHg.,CONTRADICTED,0.006119727622717619,0.9995947480201721
Whole + BGE,C06,Initial respiratory rate was 28 breaths per minute.,CONTRADICTED,0.04308999329805374,0.9993686079978943
Whole + BGE,C07,Initial peripheral oxygen saturation was 89% on room air.,CONTRADICTED,0.9043145179748535,0.9996563196182251
Whole + BGE,C08,Peripheral oxygen saturation improved to 92% with low‑flow oxygen.,SUPPORTED,0.9996629953384399,0.9973172545433044
Whole + BGE,C09,Physical examination revealed raised jugular venous pressure.,SUPPORTED,0.9995899796485901,0.9978836178779602
Whole + BGE,C10,Physical examination revealed a loud second heart sound (P2).,SUPPORTED,0.9997631907463074,0.9990715980529785
Whole + BGE,C11,Physical examination revealed clear lungs.,CONTRADICTED,0.0014574741944670677,0.9997112154960632
Whole + BGE,C12,Arterial blood gas showed mild hypoxia with PaO2 of 8.5 kPa and compensated respiratory alkalosis.,SUPPORTED,0.9997721314430237,0.9836046099662781
Whole + BGE,C13,NT‑proBNP was 3200 pg/mL.,SUPPORTED,0.9996622800827026,0.9977437257766724
Whole + BGE,C14,NT‑proBNP later increased to 4500 pg/mL.,SUPPORTED,0.9981188178062439,0.9923301339149475
Whole + BGE,C15,Chest X‑ray showed cardiomegaly.,CONTRADICTED,0.9919955730438232,0.9996021389961243
Whole + BGE,C16,Computed tomography pulmonary angiography confirmed chronic thromboembolic disease.,SUPPORTED,0.9995918869972229,0.8325031399726868
Whole + BGE,C17,Transthoracic echocardiogram demonstrated severe pulmonary hypertension with right‑ventricular strain.,SUPPORTED,0.9996402263641357,0.9610162377357483
Whole + BGE,C18,Enoxaparin 1.5 mg/kg daily was started.,SUPPORTED,0.9989175796508789,0.256369411945343
Whole + BGE,C19,Low‑flow oxygen was administered to maintain SpO₂ > 92%.,SUPPORTED,0.9997695088386536,0.14223423600196838
Whole + BGE,C20,Physiotherapy introduced diaphragmatic breathing exercises three times daily.,SUPPORTED,0.9998058676719666,0.027223026379942894
Whole + BGE,C21,Apixaban 10 mg twice daily was initiated in place of enoxaparin.,SUPPORTED,0.9984847903251648,0.9964697360992432
Whole + BGE,C22,Heart rate later stabilized at 96 beats per minute.,CONTRADICTED,0.3915300965309143,0.9988231062889099
Whole + BGE,C23,Blood pressure later stabilized at 118/72 mmHg.,CONTRADICTED,0.9055061340332031,0.976772129535675
Whole + BGE,C24,Peripheral oxygen saturation later stabilized at 94% on 2 L oxygen.,SUPPORTED,0.9997164607048035,0.9678521752357483
Whole + BGE,C25,Oral furosemide 40 mg once daily was added for fluid management.,SUPPORTED,0.9997867941856384,0.9835641384124756
Whole + BGE,C26,Oxygen therapy was continued at 2 L nasal cannula.,CONTRADICTED,0.9639151096343994,0.9952065348625183
Whole + BGE,C27,"Physiotherapy provided energy‑conservation training, pacing strategies, and a rollator for ambulation.",SUPPORTED,0.9998040795326233,0.8841093182563782
Whole + BGE,C28,Sildenafil 20 mg three times daily was started to lower pulmonary arterial pressure.,SUPPORTED,0.9996774196624756,0.9922299981117249
Whole + BGE,C29,Rivaroxaban was started at 15 mg twice daily for 21 days.,SUPPORTED,0.9995637536048889,0.8497864007949829
Whole + BGE,C30,Rivaroxaban dose was later increased to 20 mg once daily.,SUPPORTED,0.9993472695350647,0.9978737831115723
Whole + BGE,C31,Ventilation‑perfusion scan showed mismatched perfusion defects confirming the extent of chronic thromboembolic pulmonary hypertension.,SUPPORTED,0.9998206496238708,0.09674892574548721
Whole + BGE,C32,Referral to a tertiary pulmonary hypertension centre for pulmonary endarterectomy assessment was arranged.,SUPPORTED,0.9997933506965637,0.9250263571739197
Whole + BGE,C33,"Oxygen requirement decreased from 2 L to 1 L and then to room air, with SpO₂ 94‑95% on room air.",CONTRADICTED,0.9786677956581116,0.9969801306724548
Whole + BGE,C34,Raised jugular venous pressure resolved.,CONTRADICTED,0.03314491733908653,0.9988054037094116
Whole + BGE,C35,"Peripheral oedema resolved, with brief recurrence managed by reducing furosemide to 20 mg once daily.",CONTRADICTED,0.0022219945676624775,0.9995601773262024
Whole + BGE,C36,"Hemoglobin fell to 110 g/L, indicating mild anemia.",SUPPORTED,0.9997696280479431,0.032861366868019104
Whole + BGE,C37,Ferrous sulfate 200 mg twice daily was started.,SUPPORTED,0.9997572302818298,0.9556849598884583
Whole + BGE,C38,"At discharge, the patient was prescribed rivaroxaban 15 mg twice daily for 21 days then 20 mg once daily.",SUPPORTED,0.9992836117744446,0.9768308401107788
Whole + BGE,C39,"At discharge, the patient was prescribed sildenafil 20 mg three times daily.",SUPPORTED,0.9989707469940186,0.990608811378479
Whole + BGE,C40,"At discharge, the patient was prescribed furosemide 20 mg once daily.",CONTRADICTED,0.6851623058319092,0.9929459691047668
Whole + BGE,C41,"At discharge, the patient was prescribed ferrous sulfate 200 mg twice daily.",SUPPORTED,0.9993687272071838,0.8078939914703369
Whole + BGE,C42,No supplemental oxygen was required at rest; SpO₂ was 94‑95% on room air.,CONTRADICTED,0.9932275414466858,0.9995042085647583
Whole + BGE,C43,"The patient was given a home exercise programme including breathing exercises, light aerobic activity, and pacing strategies, with use of a rollator as needed.",SUPPORTED,0.9997890591621399,0.3876815438270569
Whole + BGE,C44,The patient is scheduled for an outpatient review at the tertiary pulmonary hypertension centre in four weeks.,SUPPORTED,0.9982774257659912,0.996178150177002
Whole + BGE,C45,The patient is scheduled for repeat hemoglobin measurement in clinic.,CONTRADICTED,0.9934385418891907,0.9935141801834106
Whole + BGE,C46,The patient is scheduled for repeat NT‑proBNP measurement in clinic.,CONTRADICTED,0.9971320629119873,0.9991078972816467
Whole + BGE,C47,The patient was instructed to seek urgent care for worsening breathlessness or chest pain.,CONTRADICTED,0.9969704151153564,0.9987273812294006
Whole + BGE,C48,The patient was diagnosed with chronic thromboembolic pulmonary hypertension with right‑ventricular strain.,SUPPORTED,0.9997418522834778,0.9436506628990173
Whole + MedCPT,C01,The patient is a 43-year-old female named Abena Bonsu.,SUPPORTED,0.9995473027229309,0.8478628993034363
Whole + MedCPT,C02,The patient has a past medical history of hypertension.,SUPPORTED,0.9997966885566711,0.022341551259160042
Whole + MedCPT,C03,The patient has a past medical history of asthma.,SUPPORTED,0.9997891783714294,0.009347466751933098
Whole + MedCPT,C04,The patient has a nut allergy.,SUPPORTED,0.9991517066955566,0.0020657959394156933
Whole + MedCPT,C05,The patient presented with 2-week progressive exertional dyspnoea.,SUPPORTED,0.9998247027397156,0.9852675199508667
Whole + MedCPT,C06,The patient denied chest pain at presentation.,CONTRADICTED,0.004354215692728758,0.999671459197998
Whole + MedCPT,C07,The patient denied cough at presentation.,CONTRADICTED,0.0035178044345229864,0.9996472597122192
Whole + MedCPT,C08,The patient denied wheeze at presentation.,CONTRADICTED,0.01850029267370701,0.9996496438980103
Whole + MedCPT,C09,The patient denied fever at presentation.,CONTRADICTED,0.005572787951678038,0.9996503591537476
Whole + MedCPT,C10,The patient denied syncope at presentation.,CONTRADICTED,0.00750688835978508,0.9996640682220459
Whole + MedCPT,C11,The patient's blood pressure on presentation was 92/64 mmHg.,CONTRADICTED,0.017270421609282494,0.9996168613433838
Whole + MedCPT,C12,The patient's heart rate on presentation was 112 bpm.,CONTRADICTED,0.01160002313554287,0.9996106028556824
Whole + MedCPT,C13,The patient's respiratory rate on presentation was 28 per minute.,CONTRADICTED,0.12454001605510712,0.9976587295532227
Whole + MedCPT,C14,The patient's oxygen saturation on presentation was 90% on 2 L nasal cannula.,CONTRADICTED,0.2011004090309143,0.9997112154960632
Whole + MedCPT,C15,The patient's temperature on presentation was 36.8°C.,CONTRADICTED,0.9049951434135437,0.9973746538162231
Whole + MedCPT,C16,Physical examination showed mild distress.,SUPPORTED,0.9997605681419373,0.9992115497589111
Whole + MedCPT,C17,Physical examination showed raised jugular venous pressure.,SUPPORTED,0.9995649456977844,0.9982672929763794
Whole + MedCPT,C18,Physical examination showed bibasal crepitations.,CONTRADICTED,0.9982860684394836,0.9996957778930664
Whole + MedCPT,C19,Physical examination showed mild hepatomegaly.,CONTRADICTED,0.03901210054755211,0.9997335076332092
Whole + MedCPT,C20,Physical examination showed no peripheral oedema.,CONTRADICTED,0.9988455772399902,0.999738872051239
Whole + MedCPT,C21,Arterial blood gas showed a PaO2 of 8.5 kPa.,SUPPORTED,0.999783456325531,0.9996453523635864
Whole + MedCPT,C22,Arterial blood gas showed a PaCO2 of 3.8 kPa.,CONTRADICTED,0.9951323866844177,0.998407781124115
Whole + MedCPT,C23,Arterial blood gas showed a pH of 7.46.,CONTRADICTED,0.9755747318267822,0.9994872808456421
Whole + MedCPT,C24,The arterial blood gas indicated compensated respiratory alkalosis and mild hypoxia.,SUPPORTED,0.9997896552085876,0.9988490343093872
Whole + MedCPT,C25,Initial NT-proBNP level was 3200 pg/mL.,SUPPORTED,0.9995618462562561,0.9988101720809937
Whole + MedCPT,C26,D-dimer was elevated.,SUPPORTED,0.9996100068092346,0.9965754151344299
Whole + MedCPT,C27,Chest X-ray showed bilateral pulmonary congestion.,SUPPORTED,0.999650239944458,0.9967830181121826
Whole + MedCPT,C28,Chest X-ray showed cardiomegaly.,CONTRADICTED,0.9930956959724426,0.999626636505127
Whole + MedCPT,C29,CT pulmonary angiogram confirmed chronic thromboembolic disease.,SUPPORTED,0.9994612336158752,0.5057284832000732
Whole + MedCPT,C30,Transthoracic echocardiogram showed severe pulmonary hypertension.,SUPPORTED,0.9996080994606018,0.9986215829849243
Whole + MedCPT,C31,Transthoracic echocardiogram showed right‑ventricular strain.,SUPPORTED,0.9996435642242432,0.9947010278701782
Whole + MedCPT,C32,Transthoracic echocardiogram showed a loud P2.,CONTRADICTED,0.9992837309837341,0.9997096657752991
Whole + MedCPT,C33,The initial impression was suspected chronic thromboembolic pulmonary hypertension with cardiac strain.,SUPPORTED,0.9998025298118591,0.9952688813209534
Whole + MedCPT,C34,Initial management included low‑flow oxygen.,SUPPORTED,0.9997966885566711,0.8647417426109314
Whole + MedCPT,C35,Initial management included therapeutic enoxaparin 1.5 mg/kg subcutaneously daily.,CONTRADICTED,0.9982749223709106,0.99928879737854
Whole + MedCPT,C36,The patient was admitted to a respiratory high‑dependency unit.,SUPPORTED,0.9998347759246826,0.9840381145477295
Whole + MedCPT,C37,Anticoagulation was switched to apixaban 10 mg twice daily after enoxaparin.,CONTRADICTED,0.1790088564157486,0.9996496438980103
Whole + MedCPT,C38,Diuretic therapy included furosemide 40 mg once daily.,SUPPORTED,0.999660849571228,0.7304583191871643
Whole + MedCPT,C39,The patient received diaphragmatic breathing exercises as physiotherapy.,SUPPORTED,0.9997976422309875,0.0933343917131424
Whole + MedCPT,C40,Oxygen requirement fell to 2 L O2 with SpO2 94% on oxygen.,SUPPORTED,0.9989497065544128,0.9983715415000916
Whole + MedCPT,C41,Ventilation‑perfusion scan demonstrated mismatched perfusion defects confirming the extent of CTEPH.,SUPPORTED,0.9998096823692322,0.7837293744087219
Whole + MedCPT,C42,NT-proBNP later measured 4500 pg/mL then 3200 pg/mL and remained elevated but stable.,SUPPORTED,0.9455131888389587,0.8648877143859863
Whole + MedCPT,C43,Oxygen requirement reduced to 1 L O2 then to room air with SpO2 94‑95%.,SUPPORTED,0.9985557198524475,0.9899492263793945
Whole + MedCPT,C44,Sildenafil 20 mg three times daily was initiated for pulmonary hypertension.,SUPPORTED,0.9996901750564575,0.9993570446968079
Whole + MedCPT,C45,"Anticoagulation was changed to rivaroxaban 15 mg twice daily for 21 days, then planned 20 mg once daily.",CONTRADICTED,0.9992510676383972,0.9992708563804626
Whole + MedCPT,C46,Mild anaemia was identified with hemoglobin 10 g/dL (110 g/L).,SUPPORTED,0.9996296167373657,0.0958356261253357
Whole + MedCPT,C47,Ferrous sulfate 200 mg twice daily was started.,SUPPORTED,0.9997572302818298,0.9556849598884583
Whole + MedCPT,C48,Furosemide dose was reduced to 20 mg once daily when peripheral oedema appeared mild.,SUPPORTED,0.9994568228721619,0.9971524477005005
Whole + MedCPT,C49,"At discharge, the patient was alert.",CONTRADICTED,0.4428873062133789,0.9996670484542847
Whole + MedCPT,C50,"At discharge, the patient had no dyspnoea at rest.",CONTRADICTED,0.02984365075826645,0.9996893405914307
Whole + MedCPT,C51,"At discharge, the patient could mobilise independently.",SUPPORTED,0.9997875094413757,0.9995648264884949
Whole + MedCPT,C52,"At discharge, jugular venous pressure was no longer raised.",SUPPORTED,0.9976403713226318,0.8941096067428589
Whole + MedCPT,C53,"At discharge, chest examination was clear.",CONTRADICTED,0.41824716329574585,0.9997239708900452
Whole + MedCPT,C54,"At discharge, there was no peripheral oedema.",CONTRADICTED,0.9858198165893555,0.9997040629386902
Whole + MedCPT,C55,"At discharge, oxygen saturation was stable 94‑95% on room air.",CONTRADICTED,0.7881431579589844,0.9997039437294006
Whole + MedCPT,C56,Ongoing issues included persistently elevated NT-proBNP.,SUPPORTED,0.9998065829277039,0.9981480836868286
Whole + MedCPT,C57,Ongoing issues included mild anaemia.,SUPPORTED,0.9998268485069275,0.05109405890107155
Whole + MedCPT,C58,Ongoing issues included chronic CTEPH.,SUPPORTED,0.9997718930244446,0.7100266814231873
Whole + MedCPT,C59,Final medication list included rivaroxaban 15 mg twice daily for 21 days then 20 mg once daily.,CONTRADICTED,0.9992511868476868,0.9996040463447571
Whole + MedCPT,C60,Final medication list included sildenafil 20 mg three times daily.,SUPPORTED,0.9997108578681946,0.999653697013855
Whole + MedCPT,C61,Final medication list included furosemide 20 mg once daily.,CONTRADICTED,0.9989060163497925,0.9995354413986206
Whole + MedCPT,C62,Final medication list included ferrous sulfate 200 mg twice daily.,SUPPORTED,0.9997900128364563,0.9995090961456299
Whole + MedCPT,C63,The patient was referred to a tertiary pulmonary hypertension centre for assessment of pulmonary endarterectomy.,SUPPORTED,0.9998118281364441,0.9546039700508118
Whole + MedCPT,C64,Cardiology input was noted.,SUPPORTED,0.9998078942298889,0.80404132604599
Whole + MedCPT,C65,Discharge instructions included a home exercise programme.,SUPPORTED,0.9998273849487305,0.8771539330482483
Whole + MedCPT,C66,Discharge instructions included an oxygen assessment if needed.,SUPPORTED,0.9997956156730652,0.12792055308818817
Whole + MedCPT,C67,Discharge instructions included follow‑up at the tertiary PH centre in 4 weeks.,SUPPORTED,0.999626636505127,0.17259186506271362
Whole + MedCPT,C68,Discharge instructions included safety‑net advice to seek urgent care for worsening dyspnoea or chest pain.,SUPPORTED,0.9996628761291504,0.9845544695854187
Fixed + Gemini,C01,The patient is a 43-year-old female.,SUPPORTED,0.9997207522392273,0.8052778840065002
Fixed + Gemini,C02,"She presented to the emergency department with progressive breathlessness for two weeks, worse on exertion.",SUPPORTED,0.9995051622390747,0.9927629828453064
Fixed + Gemini,C03,Her past medical history includes hypertension.,SUPPORTED,0.9997460246086121,0.14278210699558258
Fixed + Gemini,C04,Her past medical history includes asthma.,SUPPORTED,0.9997970461845398,0.0036918134428560734
Fixed + Gemini,C05,She has an allergy to nuts.,SUPPORTED,0.9986750483512878,0.003226986387744546
Fixed + Gemini,C06,No home medications were reported on admission.,CONTRADICTED,0.02518857829272747,0.9997087121009827
Fixed + Gemini,C07,The emergency department diagnosis was chronic thromboembolic pulmonary hypertension (CTEPH).,SUPPORTED,0.9997168183326721,0.9734411835670471
Fixed + Gemini,C08,Initial SpO2 on room air was 89%.,CONTRADICTED,0.11206541210412979,0.9995303153991699
Fixed + Gemini,C09,Initial blood pressure was 92/64 mmHg.,CONTRADICTED,0.006119727622717619,0.9995947480201721
Fixed + Gemini,C10,Initial heart rate was 112 beats per minute.,CONTRADICTED,0.003273952519521117,0.9996122717857361
Fixed + Gemini,C11,Initial respiratory rate was 28 breaths per minute.,CONTRADICTED,0.04308999329805374,0.9993686079978943
Fixed + Gemini,C12,Initial temperature was 36.8°C.,CONTRADICTED,0.02202252857387066,0.9993993043899536
Fixed + Gemini,C13,Physical examination showed mild distress.,SUPPORTED,0.9997605681419373,0.9992115497589111
Fixed + Gemini,C14,Physical examination showed laboured breathing.,SUPPORTED,0.9994351267814636,0.999394416809082
Fixed + Gemini,C15,Physical examination showed elevated jugular venous pressure.,SUPPORTED,0.9992837309837341,0.998457670211792
Fixed + Gemini,C16,Physical examination showed a loud second heart sound (P2).,SUPPORTED,0.9997904896736145,0.9990854263305664
Fixed + Gemini,C17,Physical examination showed bilateral basal crepitations.,CONTRADICTED,0.9985792636871338,0.9997215867042542
Fixed + Gemini,C18,Physical examination showed mild tender hepatomegaly.,CONTRADICTED,0.22911207377910614,0.9997105002403259
Fixed + Gemini,C19,Physical examination showed no peripheral oedema.,CONTRADICTED,0.9988455772399902,0.999738872051239
Fixed + Gemini,C20,Physical examination showed no signs of deep vein thrombosis.,CONTRADICTED,0.007276399061083794,0.9997401833534241
Fixed + Gemini,C21,Low‑flow oxygen via nasal cannula at 2 L increased SpO2 to 92%.,SUPPORTED,0.9996956586837769,0.9557324647903442
Fixed + Gemini,C22,Oxygen therapy was continued throughout admission.,CONTRADICTED,0.2420848160982132,0.9976916313171387
Fixed + Gemini,C23,Chest X‑ray demonstrated bilateral pulmonary congestion and cardiomegaly without consolidation.,CONTRADICTED,0.9992944002151489,0.9996274709701538
Fixed + Gemini,C24,"Arterial blood gas showed PaO2 8.5 kPa, PaCO2 3.8 kPa, pH 7.46, indicating mild hypoxia with compensated respiratory alkalosis.",SUPPORTED,0.9997456669807434,0.9958479404449463
Fixed + Gemini,C25,NT‑proBNP was elevated at 3 200 pg/mL.,SUPPORTED,0.9997977614402771,0.9884446859359741
Fixed + Gemini,C26,"Enoxaparin 1.5 mg/kg daily was administered, with the first dose given in the emergency department.",CONTRADICTED,0.2220274657011032,0.9555260539054871
Fixed + Gemini,C27,Anticoagulation was changed to apixaban 10 mg twice daily for seven days followed by 5 mg twice daily.,CONTRADICTED,0.9956278800964355,0.999372661113739
Fixed + Gemini,C28,Furosemide 40 mg once daily was started for mild fluid retention.,SUPPORTED,0.9997792840003967,0.9966089725494385
Fixed + Gemini,C29,Diaphragmatic breathing exercises were introduced three times daily.,SUPPORTED,0.9998255372047424,0.00433926610276103
Fixed + Gemini,C30,"Light mobilisation, energy‑conservation education, and rollator training were provided.",SUPPORTED,0.9998277425765991,0.5070927143096924
Fixed + Gemini,C31,CT pulmonary angiogram confirmed chronic thromboembolic disease.,SUPPORTED,0.9994612336158752,0.5057284832000732
Fixed + Gemini,C32,Transthoracic echocardiogram showed severe pulmonary hypertension with right‑ventricular strain.,SUPPORTED,0.9997299313545227,0.8050469160079956
Fixed + Gemini,C33,Cardiology referral was made and pulmonary endarterectomy was discussed.,SUPPORTED,0.9997645020484924,0.2056242972612381
Fixed + Gemini,C34,Sildenafil 20 mg three times daily was initiated for pulmonary hypertension.,SUPPORTED,0.9996901750564575,0.9993570446968079
Fixed + Gemini,C35,Rivaroxaban was started at 15 mg twice daily for 21 days then increased to 20 mg once daily for long‑term anticoagulation.,SUPPORTED,0.9989768266677856,0.9976775050163269
Fixed + Gemini,C36,Furosemide 40 mg daily was continued.,CONTRADICTED,0.9992314577102661,0.9993544220924377
Fixed + Gemini,C37,"The patient became oxygen independent, maintaining SpO2 94‑95% on room air.",CONTRADICTED,0.9976910352706909,0.9997084736824036
Fixed + Gemini,C38,Heart rate stabilized to 82‑88 bpm.,CONTRADICTED,0.008167636580765247,0.9996044039726257
Fixed + Gemini,C39,Blood pressure stabilized to 110‑118/72 mmHg.,CONTRADICTED,0.07887516915798187,0.9996517896652222
Fixed + Gemini,C40,Jugular venous pressure was no longer elevated.,SUPPORTED,0.979806661605835,0.9496124982833862
Fixed + Gemini,C41,Peripheral oedema resolved.,CONTRADICTED,0.002599055180326104,0.9996829032897949
Fixed + Gemini,C42,Hepatomegaly was absent.,CONTRADICTED,0.0012588563840836287,0.9997069239616394
Fixed + Gemini,C43,Mild anemia was identified with hemoglobin 110 g/L.,SUPPORTED,0.9998142123222351,0.975077211856842
Fixed + Gemini,C44,Ferrous sulfate 200 mg twice daily was started.,SUPPORTED,0.9997572302818298,0.9556849598884583
Fixed + Gemini,C45,NT‑proBNP remained mildly elevated at approximately 3 200 pg/mL.,SUPPORTED,0.999584972858429,0.9995797276496887
Fixed + Gemini,C46,Ventilation‑perfusion scan confirmed mismatched perfusion defects consistent with CTEPH.,SUPPORTED,0.9997474551200867,0.5147949457168579
Fixed + Gemini,C47,The patient reported continued improvement in breathlessness.,CONTRADICTED,0.9994547963142395,0.9996699094772339
Fixed + Gemini,C48,The patient tolerated walking 10 m with a walking frame without desaturation.,CONTRADICTED,0.6799690127372742,0.999480664730072
Fixed + Gemini,C49,"Discharge medications included sildenafil 20 mg three times daily, rivaroxaban 20 mg once daily, furosemide 40 mg once daily, and ferrous sulfate 200 mg twice daily.",CONTRADICTED,0.9971520900726318,0.9997010231018066
Fixed + Gemini,C50,No supplemental oxygen was required at discharge.,CONTRADICTED,0.6361896395683289,0.999674916267395
Fixed + Gemini,C51,Outpatient follow‑up was arranged at a tertiary pulmonary hypertension centre in four weeks.,SUPPORTED,0.999687671661377,0.33231034874916077
Fixed + Gemini,C52,The patient was discharged in stable condition.,CONTRADICTED,0.06513570249080658,0.9997087121009827
Fixed + BGE,C01,Past medical history includes hypertension.,SUPPORTED,0.9997853636741638,0.06939546018838882
