person_id,workflow,claim_count,supported,partially_supported,unsupported,faithfulness_score
28570119-9cdc-4120-98c0-4edb76cf36a3,hierarchical,62,61,0,1,98.38709677419355
28570119-9cdc-4120-98c0-4edb76cf36a3,rag,44,44,0,0,100.0
28570119-9cdc-4120-98c0-4edb76cf36a3,rag_verification,42,42,0,0,100.0
29ea304f-821d-474e-81a1-394ca3945e02,direct,67,66,1,0,99.25373134328358
29ea304f-821d-474e-81a1-394ca3945e02,hierarchical,43,43,0,0,100.0
29ea304f-821d-474e-81a1-394ca3945e02,rag,40,40,0,0,100.0
29ea304f-821d-474e-81a1-394ca3945e02,rag_verification,36,36,0,0,100.0
31f9612b-5a6b-48ea-887b-895772a83b99,direct,57,57,0,0,100.0
31f9612b-5a6b-48ea-887b-895772a83b99,hierarchical,65,65,0,0,100.0
31f9612b-5a6b-48ea-887b-895772a83b99,rag,70,70,0,0,100.0
31f9612b-5a6b-48ea-887b-895772a83b99,rag_verification,62,62,0,0,100.0
359014a1-10e6-4bd8-9ba7-513d021c971e,direct,51,51,0,0,100.0
359014a1-10e6-4bd8-9ba7-513d021c971e,hierarchical,40,40,0,0,100.0
359014a1-10e6-4bd8-9ba7-513d021c971e,rag,66,63,2,1,96.96969696969697
359014a1-10e6-4bd8-9ba7-513d021c971e,rag_verification,37,36,0,1,97.2972972972973
37b5ce4d-dcfd-4bb7-bee4-d597eb114703,direct,62,61,0,1,98.38709677419355
37b5ce4d-dcfd-4bb7-bee4-d597eb114703,hierarchical,78,77,0,1,98.71794871794873
37b5ce4d-dcfd-4bb7-bee4-d597eb114703,rag,58,57,1,0,99.13793103448276
37b5ce4d-dcfd-4bb7-bee4-d597eb114703,rag_verification,55,54,1,0,99.0909090909091
420df33b-0072-4124-b1c6-0589daef3677,direct,104,104,0,0,100.0
420df33b-0072-4124-b1c6-0589daef3677,hierarchical,93,93,0,0,100.0
420df33b-0072-4124-b1c6-0589daef3677,rag,63,63,0,0,100.0
420df33b-0072-4124-b1c6-0589daef3677,rag_verification,59,59,0,0,100.0
42149ae1-6a3c-471e-a002-cb7263e8bb8c,direct,90,90,0,0,100.0
42149ae1-6a3c-471e-a002-cb7263e8bb8c,hierarchical,65,65,0,0,100.0
42149ae1-6a3c-471e-a002-cb7263e8bb8c,rag,73,73,0,0,100.0
42149ae1-6a3c-471e-a002-cb7263e8bb8c,rag_verification,59,59,0,0,100.0
51f15281-8840-4fd0-92de-89188ab8d736,direct,49,48,0,1,97.95918367346938
51f15281-8840-4fd0-92de-89188ab8d736,hierarchical,82,81,1,0,99.39024390243902
51f15281-8840-4fd0-92de-89188ab8d736,rag,51,51,0,0,100.0
51f15281-8840-4fd0-92de-89188ab8d736,rag_verification,44,44,0,0,100.0
58b8aad6-7327-4450-956f-b775be0f4984,direct,78,77,1,0,99.35897435897436
58b8aad6-7327-4450-956f-b775be0f4984,hierarchical,65,65,0,0,100.0
58b8aad6-7327-4450-956f-b775be0f4984,rag,59,58,1,0,99.15254237288136
58b8aad6-7327-4450-956f-b775be0f4984,rag_verification,55,54,1,0,99.0909090909091
5cfa1b7e-c60e-4bae-b31f-b6be2c09adcb,direct,73,72,1,0,99.31506849315068
5cfa1b7e-c60e-4bae-b31f-b6be2c09adcb,hierarchical,66,66,0,0,100.0
5cfa1b7e-c60e-4bae-b31f-b6be2c09adcb,rag,56,56,0,0,100.0
5cfa1b7e-c60e-4bae-b31f-b6be2c09adcb,rag_verification,55,55,0,0,100.0
5e434d78-b2f6-4d88-b327-fff6ee50b901,direct,50,50,0,0,100.0
5e434d78-b2f6-4d88-b327-fff6ee50b901,hierarchical,47,47,0,0,100.0
5e434d78-b2f6-4d88-b327-fff6ee50b901,rag,51,51,0,0,100.0
5e434d78-b2f6-4d88-b327-fff6ee50b901,rag_verification,46,45,0,1,97.82608695652173
61699d6d-904a-4ece-9026-cd61b3fd9a50,direct,48,48,0,0,100.0
61699d6d-904a-4ece-9026-cd61b3fd9a50,hierarchical,46,46,0,0,100.0
61699d6d-904a-4ece-9026-cd61b3fd9a50,rag,37,37,0,0,100.0
61699d6d-904a-4ece-9026-cd61b3fd9a50,rag_verification,38,38,0,0,100.0
68258b8d-7d36-4d32-9093-6170a32bf087,direct,60,60,0,0,100.0
68258b8d-7d36-4d32-9093-6170a32bf087,hierarchical,37,37,0,0,100.0
68258b8d-7d36-4d32-9093-6170a32bf087,rag,34,33,0,1,97.05882352941177
68258b8d-7d36-4d32-9093-6170a32bf087,rag_verification,28,27,0,1,96.42857142857143
69bf7e25-abb2-4dde-857f-f1138d4d0d8a,direct,56,52,4,0,96.42857142857143
69bf7e25-abb2-4dde-857f-f1138d4d0d8a,hierarchical,110,107,1,2,97.72727272727273
69bf7e25-abb2-4dde-857f-f1138d4d0d8a,rag,76,73,0,3,96.05263157894737
69bf7e25-abb2-4dde-857f-f1138d4d0d8a,rag_verification,46,45,0,1,97.82608695652173
6e93f9d9-213d-4f2c-a1f0-f475dacef554,direct,54,54,0,0,100.0
6e93f9d9-213d-4f2c-a1f0-f475dacef554,hierarchical,56,56,0,0,100.0
6e93f9d9-213d-4f2c-a1f0-f475dacef554,rag,63,63,0,0,100.0
6e93f9d9-213d-4f2c-a1f0-f475dacef554,rag_verification,55,55,0,0,100.0
8448b3fa-1f5e-45b5-bda5-eb0b7921b8cc,direct,57,56,1,0,99.12280701754386
8448b3fa-1f5e-45b5-bda5-eb0b7921b8cc,hierarchical,54,54,0,0,100.0
8448b3fa-1f5e-45b5-bda5-eb0b7921b8cc,rag,54,52,0,2,96.29629629629629
8448b3fa-1f5e-45b5-bda5-eb0b7921b8cc,rag_verification,46,44,0,2,95.65217391304348
900efb9a-fb57-4f25-b2a3-0a8c6f55b2d6,direct,71,71,0,0,100.0
900efb9a-fb57-4f25-b2a3-0a8c6f55b2d6,hierarchical,56,54,2,0,98.21428571428571
900efb9a-fb57-4f25-b2a3-0a8c6f55b2d6,rag,45,31,14,0,84.44444444444444
900efb9a-fb57-4f25-b2a3-0a8c6f55b2d6,rag_verification,50,45,5,0,95.0
94264e23-ea67-496e-b027-5dd0cc334f1e,direct,66,65,0,1,98.48484848484848
94264e23-ea67-496e-b027-5dd0cc334f1e,hierarchical,68,65,2,1,97.05882352941177
94264e23-ea67-496e-b027-5dd0cc334f1e,rag,47,47,0,0,100.0
94264e23-ea67-496e-b027-5dd0cc334f1e,rag_verification,42,42,0,0,100.0
96766f3f-aa50-4bcb-abbf-884328049ea9,direct,38,36,2,0,97.36842105263158
96766f3f-aa50-4bcb-abbf-884328049ea9,hierarchical,32,32,0,0,100.0
96766f3f-aa50-4bcb-abbf-884328049ea9,rag,46,45,0,1,97.82608695652173
96766f3f-aa50-4bcb-abbf-884328049ea9,rag_verification,34,33,1,0,98.52941176470588
973ee9d2-7c23-4e1d-afb2-86f679b55964,direct,66,66,0,0,100.0
973ee9d2-7c23-4e1d-afb2-86f679b55964,hierarchical,49,49,0,0,100.0
973ee9d2-7c23-4e1d-afb2-86f679b55964,rag,40,40,0,0,100.0
973ee9d2-7c23-4e1d-afb2-86f679b55964,rag_verification,37,37,0,0,100.0
9d8fd25d-c4fe-4343-8ff5-5da5dad4e740,direct,72,72,0,0,100.0
9d8fd25d-c4fe-4343-8ff5-5da5dad4e740,hierarchical,51,51,0,0,100.0
9d8fd25d-c4fe-4343-8ff5-5da5dad4e740,rag,48,48,0,0,100.0
9d8fd25d-c4fe-4343-8ff5-5da5dad4e740,rag_verification,69,69,0,0,100.0
a8629d2e-7fd8-449a-9149-e0f5045a04c4,direct,60,60,0,0,100.0
a8629d2e-7fd8-449a-9149-e0f5045a04c4,hierarchical,93,91,1,1,98.38709677419355
a8629d2e-7fd8-449a-9149-e0f5045a04c4,rag,59,59,0,0,100.0
a8629d2e-7fd8-449a-9149-e0f5045a04c4,rag_verification,58,58,0,0,100.0
a9827c1c-fb54-4e5b-8bc6-d3099869e671,direct,41,41,0,0,100.0
a9827c1c-fb54-4e5b-8bc6-d3099869e671,hierarchical,48,48,0,0,100.0
a9827c1c-fb54-4e5b-8bc6-d3099869e671,rag,64,64,0,0,100.0
a9827c1c-fb54-4e5b-8bc6-d3099869e671,rag_verification,50,50,0,0,100.0
b70c7ff6-c2af-4df6-bd88-889bf767a168,direct,50,50,0,0,100.0
b70c7ff6-c2af-4df6-bd88-889bf767a168,hierarchical,61,61,0,0,100.0
b70c7ff6-c2af-4df6-bd88-889bf767a168,rag,76,70,0,6,92.10526315789474
b70c7ff6-c2af-4df6-bd88-889bf767a168,rag_verification,66,60,0,6,90.9090909090909
b8085350-6748-47a5-a12f-6acd07c40a82,direct,64,64,0,0,100.0
b8085350-6748-47a5-a12f-6acd07c40a82,hierarchical,48,47,1,0,98.95833333333334
b8085350-6748-47a5-a12f-6acd07c40a82,rag,46,46,0,0,100.0
b8085350-6748-47a5-a12f-6acd07c40a82,rag_verification,34,34,0,0,100.0
c332ce87-7afd-4a74-9896-3fef50179bd0,direct,45,45,0,0,100.0
c332ce87-7afd-4a74-9896-3fef50179bd0,hierarchical,47,45,2,0,97.87234042553192
c332ce87-7afd-4a74-9896-3fef50179bd0,rag,64,64,0,0,100.0
c332ce87-7afd-4a74-9896-3fef50179bd0,rag_verification,70,70,0,0,100.0
c50e236f-6b3d-41c8-9e16-7ec343cac820,direct,68,63,3,2,94.85294117647058
c50e236f-6b3d-41c8-9e16-7ec343cac820,hierarchical,52,50,2,0,98.07692307692307
c50e236f-6b3d-41c8-9e16-7ec343cac820,rag,37,37,0,0,100.0
c50e236f-6b3d-41c8-9e16-7ec343cac820,rag_verification,36,36,0,0,100.0
c51243b8-e3d9-4cf7-ab29-0315048f91dc,direct,60,59,1,0,99.16666666666667
c51243b8-e3d9-4cf7-ab29-0315048f91dc,hierarchical,24,24,0,0,100.0
c51243b8-e3d9-4cf7-ab29-0315048f91dc,rag,46,46,0,0,100.0
c51243b8-e3d9-4cf7-ab29-0315048f91dc,rag_verification,44,44,0,0,100.0
c54a9649-495a-4f89-a8ca-fbb14ba70ca6,direct,58,58,0,0,100.0
c54a9649-495a-4f89-a8ca-fbb14ba70ca6,hierarchical,31,31,0,0,100.0
c54a9649-495a-4f89-a8ca-fbb14ba70ca6,rag,36,35,0,1,97.22222222222221
c54a9649-495a-4f89-a8ca-fbb14ba70ca6,rag_verification,35,34,0,1,97.14285714285714
c6c45c39-cd73-49dd-818d-0a7865fe8a7f,direct,49,49,0,0,100.0
c6c45c39-cd73-49dd-818d-0a7865fe8a7f,hierarchical,34,34,0,0,100.0
c6c45c39-cd73-49dd-818d-0a7865fe8a7f,rag,40,40,0,0,100.0
c6c45c39-cd73-49dd-818d-0a7865fe8a7f,rag_verification,36,36,0,0,100.0
c87e610e-ac2a-48cf-ac32-054f3e595498,direct,34,34,0,0,100.0
c87e610e-ac2a-48cf-ac32-054f3e595498,hierarchical,56,56,0,0,100.0
c87e610e-ac2a-48cf-ac32-054f3e595498,rag,35,34,0,1,97.14285714285714
c87e610e-ac2a-48cf-ac32-054f3e595498,rag_verification,23,23,0,0,100.0
ce0046dc-0ad3-4710-8147-549793c58b44,direct,52,51,1,0,99.03846153846155
ce0046dc-0ad3-4710-8147-549793c58b44,hierarchical,71,71,0,0,100.0
ce0046dc-0ad3-4710-8147-549793c58b44,rag,47,47,0,0,100.0
ce0046dc-0ad3-4710-8147-549793c58b44,rag_verification,32,32,0,0,100.0
d362867a-d350-4aca-82d0-a63b7e0a14c7,direct,64,61,2,1,96.875
d362867a-d350-4aca-82d0-a63b7e0a14c7,hierarchical,63,62,1,0,99.20634920634922
d362867a-d350-4aca-82d0-a63b7e0a14c7,rag,70,70,0,0,100.0
d362867a-d350-4aca-82d0-a63b7e0a14c7,rag_verification,70,70,0,0,100.0
e8885d7c-b863-4c41-997e-588416d655ae,direct,60,60,0,0,100.0
e8885d7c-b863-4c41-997e-588416d655ae,hierarchical,82,80,1,1,98.17073170731707
e8885d7c-b863-4c41-997e-588416d655ae,rag,59,59,0,0,100.0
e8885d7c-b863-4c41-997e-588416d655ae,rag_verification,50,50,0,0,100.0
ebb1ca4c-f42f-41d8-adbc-1b08949036d1,direct,54,54,0,0,100.0
ebb1ca4c-f42f-41d8-adbc-1b08949036d1,hierarchical,77,76,1,0,99.35064935064936
ebb1ca4c-f42f-41d8-adbc-1b08949036d1,rag,47,47,0,0,100.0
ebb1ca4c-f42f-41d8-adbc-1b08949036d1,rag_verification,40,40,0,0,100.0
ef943dfb-1368-44e0-a946-a0be360e1d54,direct,83,81,1,1,98.19277108433735
ef943dfb-1368-44e0-a946-a0be360e1d54,hierarchical,56,56,0,0,100.0
ef943dfb-1368-44e0-a946-a0be360e1d54,rag,48,41,0,7,85.41666666666666
ef943dfb-1368-44e0-a946-a0be360e1d54,rag_verification,50,44,0,6,88.0
f1538231-21af-4cfa-8b40-3303aa0d0c96,direct,42,42,0,0,100.0
f1538231-21af-4cfa-8b40-3303aa0d0c96,hierarchical,36,36,0,0,100.0
f1538231-21af-4cfa-8b40-3303aa0d0c96,rag,69,69,0,0,100.0
f1538231-21af-4cfa-8b40-3303aa0d0c96,rag_verification,55,55,0,0,100.0
f44d4a08-4c76-4000-ad61-d1d81032e643,direct,66,66,0,0,100.0
f44d4a08-4c76-4000-ad61-d1d81032e643,hierarchical,64,64,0,0,100.0
f44d4a08-4c76-4000-ad61-d1d81032e643,rag,56,55,1,0,99.10714285714286
f44d4a08-4c76-4000-ad61-d1d81032e643,rag_verification,57,55,2,0,98.24561403508771
f97ee974-67f3-4d72-9ed4-f17025da3749,direct,51,51,0,0,100.0
f97ee974-67f3-4d72-9ed4-f17025da3749,hierarchical,59,59,0,0,100.0
f97ee974-67f3-4d72-9ed4-f17025da3749,rag,39,39,0,0,100.0
f97ee974-67f3-4d72-9ed4-f17025da3749,rag_verification,43,43,0,0,100.0
fc6268ab-ad15-4613-9d8d-12c045e2fd46,direct,62,62,0,0,100.0
fc6268ab-ad15-4613-9d8d-12c045e2fd46,hierarchical,37,36,1,0,98.64864864864865
fc6268ab-ad15-4613-9d8d-12c045e2fd46,rag,51,50,0,1,98.0392156862745
fc6268ab-ad15-4613-9d8d-12c045e2fd46,rag_verification,47,45,1,1,96.80851063829788
ff8c4724-b7de-4189-bccf-cffddd4d6d44,direct,59,59,0,0,100.0
ff8c4724-b7de-4189-bccf-cffddd4d6d44,hierarchical,51,51,0,0,100.0
ff8c4724-b7de-4189-bccf-cffddd4d6d44,rag,39,33,0,6,84.61538461538461
ff8c4724-b7de-4189-bccf-cffddd4d6d44,rag_verification,36,32,0,4,88.88888888888889
